Entity,Year,Carbon dioxide emissions from buildings,Carbon dioxide emissions from industry,Carbon dioxide emissions from land use change and forestry,Carbon dioxide emissions from other fuel combustion,Carbon dioxide emissions from transport_x,Carbon dioxide emissions from manufacturing and construction,Carbon dioxide emissions from electricity and heat,Annual CO2 emissions (per capita),GDP per capita,Population (historical estimates),Per capita consumption-based CO₂ emissions,Annual CO₂ emissions embedded in trade,Annual CO₂ emissions from flaring,Carbon dioxide emissions from transport_y,Annual CO₂ emissions
India,1990,56410000,22350000,-222390000,28300000,64379996,149110000,231920000,0.66401815,369,870452160,0.6610749,2561984,9870757,64379996,577996000
India,1991,59280000,24500000,-222390000,33080002,66930000,153200000,258970000,0.69224447,304,888941760,0.67134404,18579264,7833632,66930000,615365000
India,1992,58560000,25160000,-222390000,33029998,68550000,156650000,278570020,0.72219676,318,907574080,0.71240574,8886080,3565072,68550000,655447040
India,1993,58880000,26600000,-222390000,32130002,68550000,154530000,306800000,0.7311473,302,926351296,0.7037686,25362304,3700640,68550000,677299260
India,1994,63490000,28540000,-222390000,36920000,70810000,164340000,319860000,0.7554136,346,945261952,0.7229704,30667328,1851796,70810000,714063740
India,1995,65379996,31100000,-222370000,39070000,78290000,156700000,364890020,0.7886323,374,964279104,0.74583066,41272704,2303268,78290000,760461630
India,1996,67270000,34080000,-222370000,41620000,83800000,156920000,388130020,0.8376247,400,983281216,0.7813899,55294656,2135792,83800000,823620700
India,1997,72900000,37420000,-222370000,45130000,85800000,173130000,402100000,0.8560122,415,1002335232,0.8021958,53942080,2645498,85800000,858011200
India,1998,70400000,39030000,-222370000,35100000,88780000,182580000,418140000,0.85739446,413,1021434560,0.8024994,56071744,2133216,88780000,875772350
India,1999,73440000,44590000,-222390000,40380000,93310000,187800000,459650000,0.9134644,441,1040500032,0.8713311,43839744,2048127.9,93310000,950459800
India,2000,72680000,45960000,-222410000,38540000,95090000,192270000,491240000,0.92251354,442,1059633664,0.8570621,69354560,1973441,95090000,977526400
India,2001,71320000,46740000,3680000,39270000,94920000,193980000,505360000,0.91843957,450,1078970880,0.84739995,76649660,1856872,94920000,990969540
India,2002,74620000,49110000,3680000,41050000,97740000,207670000,513580030,0.9302123,469,1098313088,0.84570336,92817340,1602081,97740000,1021664400
India,2003,76710000,50880000,3670000,47940000,99530000,198420000,536410000,0.9478657,544,1117415168,0.8786841,77304640,1786836,99530000,1059159550
India,2004,79030000,55540000,3670000,48200000,108050000,208260000,584730000,0.9901711,624,1136264576,0.91180503,89044540,1765007,108050000,1125096300
India,2005,79920000,59690000,3650000,47470000,115400000,232620000,599570000,1.026879,711,1154638720,0.94954866,89288580,1703873,115400000,1185674200
India,2006,81340000,64910004,3650000,46840000,120650000,260310000,639330050,1.102451,802,1172373760,1.0055526,113601020,1741354,120650000,1292484600
India,2007,83340000,68330000,3650000,41620000,142980000,295260000,703280000,1.1704763,1023,1189691776,1.0896578,96149120,1842345,142980000,1392506000
India,2008,85390000,73240000,3650000,70500000,163210000,308180000,721880000,1.2342707,994,1206734848,1.1443819,108471940,1887652,163210000,1489437400
India,2009,89560000,81270000,3660000,68240000,178710000,355580000,789510000,1.3175575,1097,1223640192,1.2464799,86973440,1878801,178710000,1612216300
India,2010,92710000,86030000,3650000,68810000,192920000,398020000,819680000,1.3520223,1351,1240613632,1.2716819,99671300,1704123,192920000,1677337200
India,2011,96720000,91310000,-66160004,52970000,209290000,443410020,860229950,1.4032146,1450,1257621248,1.2969729,133611780,2648179,209290000,1764712400
India,2012,97450000,100200000,-66160004,65430000,221520000,431900000,989110000,1.5109605,1434,1274487168,1.4043883,135824770,3592236,221520000,1925699700
India,2013,99590000,107800000,-66160004,59890000,226260000,469390000,1006040000,1.5452317,1438,1291132032,1.3797113,213708670,3265639,226260000,1995098100
India,2014,103750000,115800000,-66160004,64089996,235750000,500530000,1123430000,1.6434114,1560,1307246464,1.4991959,188525180,3529487,235750000,2148343800
India,2015,107820000,117500000,-66160004,64339996,257750000,503100000,1103120000,1.6889228,1590,1322866560,1.5838342,139018240,4137466,257750000,2234219500
India,2016,111860000,123300000,-35590000,66220000,269390000,524039970,1096320000,1.7589977,1714,1338636288,1.6279407,175437570,3756230,269390000,2354658000
India,2017,114190000,121000000,-35590000,69020000,291230000,555460030,1154900000,1.7919174,1958,1354195712,1.6788491,153116670,2823090,291230000,2426606800
India,2018,118940000,139000000,-35590000,71110000,305330000,565290000,1255819900,1.8941209,1974,1369003264,1.7715476,167803400,2489685,305330000,2593057800
India,2019,123250000,143700000,-35630000,69090000,307860000,549349950,1228080000,1.8891369,2050,1383112064,1.7695689,165376000,2454173,307860000,2612888000
India,2020,124570000,122900000,-35630000,64170000,269549980,501320000,1115350000,1.7341554,1913,1396387072,1.6096771,173819900,2805992,269549980,2421552000
